Year,Local_Authority_County,Code,Authority_Type,Public_FT_employees,Public_PT_employees,Public_Tot_employees,Public_Tot_employment,Private_FT_employees,Private_PT_employees,Private_Tot_employees,Private_Tot_employment,Total_FT_Employees,Total_PT_Employees,Total_Tot_employees,Total_Employment,Validation_Status,Public_Sector_Percent,Private_Sector_Percent,Public_sector_share,Private_sector_share,prev_year_employment,yoy_growth_percent
2019,East Midlands,E12000004,Region,197358,139754,337112,337614,1215505,536915,1752420,1830545,1412863,676670,2089532,2168159,Invalid,15.57,84.43,15.57,84.43,2151490.0,0.77
2009,Enfield,E09000010,Local Authority,15205,7925,23130,23176,48091,21280,69371,71763,63295,29205,92501,94939,Invalid,24.41,75.59,24.41,75.59,,N/A
2010,Enfield,E09000010,Local Authority,14581,9720,24301,24467,46409,22934,69342,71296,60990,32655,93643,95763,Invalid,25.55,74.45,25.55,74.45,94939.0,0.87
2011,Enfield,E09000010,Local Authority,15125,7814,22939,22963,46411,23080,69491,72162,61536,30894,92429,95125,Invalid,24.14,75.86,24.14,75.86,95763.0,-0.67
2012,Enfield,E09000010,Local Authority,15433,7652,23085,23094,49320,25283,74603,76960,64753,32934,97688,100054,Invalid,23.08,76.92,23.08,76.92,95125.0,5.18
2013,Enfield,E09000010,Local Authority,14876,7891,22767,23060,48756,23827,72582,75116,63632,31718,95349,98176,Invalid,23.49,76.51,23.49,76.51,100054.0,-1.88
2014,Enfield,E09000010,Local Authority,15300,6708,22008,22020,51817,25588,77404,79474,67117,32295,99412,101494,Invalid,21.7,78.3,21.7,78.3,98176.0,3.38
2015,Enfield,E09000010,Local Authority,14369,7707,22075,22282,54380,25966,80345,83178,68749,33672,102421,105460,Invalid,21.13,78.87,21.13,78.87,101494.0,3.91
2016,Enfield,E09000010,Local Authority,12436,8373,20809,20882,53586,26035,79621,81684,66022,34407,100429,102566,Invalid,20.36,79.64,20.36,79.64,105460.0,-2.74
2017,Enfield,E09000010,Local Authority,12654,7968,20622,20633,56104,29092,85196,87406,68758,37060,105818,108039,Valid,19.1,80.9,19.1,80.9,102566.0,5.34
2018,Enfield,E09000010,Local Authority,11876,8179,20055,20086,54407,29030,83437,85617,66283,37209,103493,105703,Invalid,19.0,81.0,19.0,81.0,108039.0,-2.16
2019,Enfield,E09000010,Local Authority,11917,8198,20115,20130,56215,28276,84491,86647,68133,36474,104607,106777,Invalid,18.85,81.15,18.85,81.15,105703.0,1.02
2009,England,E92000001,Nation,3031712,1820785,4852497,5039846,12676924,5535252,18212177,19028251,15708636,7356037,23064674,24068097,Invalid,20.94,79.06,20.94,79.06,,N/A
2010,England,E92000001,Nation,3173328,1929576,5102904,5292943,12525932,5456632,17982375,18689053,15699261,7386208,23085279,23981996,Invalid,22.07,77.93,22.07,77.93,24068097.0,-0.36
2011,England,E92000001,Nation,2993291,1884590,4877882,5061942,12618509,5576829,18195338,19000668,15611800,7461419,23073219,24062609,Invalid,21.04,78.96,21.04,78.96,23981996.0,0.34
2012,England,E92000001,Nation,2827234,1781192,4608426,4792995,12857513,5790079,18647593,19415246,15684747,7571271,23256019,24208241,Invalid,19.8,80.2,19.8,80.2,24062609.0,0.61
2013,England,E92000001,Nation,2839945,1691915,4531862,4712460,13155772,5873141,19028910,19768998,15995717,7565056,23560772,24481459,Invalid,19.25,80.75,19.25,80.75,24208241.0,1.13
2014,England,E92000001,Nation,2713440,1618908,4332349,4515101,13936834,6016658,19953490,20622077,16650274,7635566,24285839,25137178,Invalid,17.96,82.04,17.96,82.04,24481459.0,2.68
2015,England,E92000001,Nation,2620087,1574587,4194749,4205688,14647058,6202684,20849743,21727955,17267145,7777272,25044492,25933644,Invalid,16.22,83.78,16.22,83.78,25137178.0,3.17
2016,England,E92000001,Nation,2609614,1588951,4198565,4208508,14766196,6512666,21278860,22121873,17375809,8101617,25477425,26330381,Invalid,15.98,84.02,15.98,84.02,25933644.0,1.53
2017,England,E92000001,Nation,2612605,1603521,4216127,4225883,14899738,6704627,21604363,22455877,17512344,8308149,25820490,26681761,Invalid,15.84,84.16,15.84,84.16,26330381.0,1.33
2018,England,E92000001,Nation,2660473,1573533,4234006,4241642,14997233,6745007,21742242,22599864,17657707,8318540,25976248,26841506,Invalid,15.8,84.2,15.8,84.2,26681761.0,0.6
2019,England,E92000001,Nation,2685997,1573492,4259489,4269232,15222896,6825040,22047937,22884758,17908893,8398532,26307426,27153990,Invalid,15.72,84.28,15.72,84.28,26841506.0,1.16
2009,Great Britain,K03000001,Aggregate,3667669,2194009,5861678,6138956,14442558,6338353,20780913,21719234,18110227,8532362,26642590,27858190,Invalid,22.04,77.96,22.04,77.96,,N/A
2010,Great Britain,K03000001,Aggregate,3812835,2305929,6118764,6399383,14206122,6256614,20462547,21272210,18018957,8562543,26581311,27671593,Invalid,23.13,76.87,23.13,76.87,27858190.0,-0.67
2011,Great Britain,K03000001,Aggregate,3615520,2254088,5869608,6140902,14326551,6397321,20723872,21655547,17942071,8651409,26593480,27796450,Valid,22.09,77.91,22.09,77.91,27671593.0,0.45
2012,Great Britain,K03000001,Aggregate,3437131,2142637,5579769,5851572,2012000,2012000,2012000,2012000,17996880,8755988,26752869,27905428,Invalid,20.97,7.21,20.97,7.21,27796450.0,0.39
2013,Great Britain,K03000001,Aggregate,3439641,2069687,5509330,5770720,14887909,6699091,21586997,22446735,18327550,8768778,27096327,28217456,Invalid,20.45,79.55,20.45,79.55,27905428.0,1.12
2014,Great Britain,K03000001,Aggregate,3282540,1977689,5260230,5525367,15799045,6872341,22671383,23444653,19081585,8850029,27931613,28970019,Invalid,19.07,80.93,19.07,80.93,28217456.0,2.67
2015,Great Britain,K03000001,Aggregate,3148232,1922138,5070445,5081804,16536490,7131668,23668158,24737385,19684722,9053806,28738603,29819189,Invalid,17.04,82.96,17.04,82.96,28970019.0,2.93
2016,Great Britain,K03000001,Aggregate,3142470,1932928,5075399,5085635,16695059,7443663,24138720,25164516,19837529,9376592,29214119,30250152,Invalid,16.81,83.19,16.81,83.19,29819189.0,1.45
